albordiĝinti,1
albuminfabriko,2
aldiri,4
aldomiĝi,1
aldona,4
aldonadi,1
aldonante,2
aldone,24
aldoni,36
aldoniĝi,2
aldoninta,2
aldonita,1
aldono,3
alegorio,1
alelekti,1
aleno,3
aleo,1
alfa,1
alfabeto,5
alfiksiĝi,1
alfikso,1
alflanke,1
alflatiĝa,1
alfluado,1
alfluganta,1
alflugi,4
alflugo,1
alflui,1
alflustranto,1
alfronti,2
algapi,1
algliti,1
alglueca,1
algluita,1
algo,4
algoparfumo,1
algvidi,1
alĝustigi,3
alĝustigita,1
alĝustigo,1
alhasti,1
alĥemiista,2
alĥemiisto,13
alĥemio,6
alia,594
aliaflanke,1
aliaĵo,1
alialoke,1
alianca,3
alianciĝi,1
alianco,2
alidirekte,2
alie,19
aliebla,1
aliel,3
alieniĝi,1
alies,2
aliflanke,16
alifoje,7
aliforme,1
aliformi,2
aliformiĝi,1
aligi,1
aliĝi,7
aliĝinto,3
aliiĝi,2
alikaŭze,1
alikaze,4
alilanda,2
alilandaĵo,1
alilandano,2
alilande,1
aliloke,9
alimaniere,8
alinaciiĝo,1
alineo,2
aliokaze,5
aliplaneda,2
aliplanedano,1
alirebla,1
alireble,2
aliri,8
aliseksamulo,1
alisidiĝi,1
alispeca,2
aliteracii,1
alitribano,1
aliulo,22
alivesti,1
alivestita,1
alivizaĝa,1
alivorte,2
alĵetadi,1
alkalo,1
alkateni,2
alkoholaĵa,1
alkoholaĵo,3
alkoholdrinkado,1
alkoholisto,1
alkoholo,7
alkonduki,2
alkroĉiĝi,2
alkroĉiĝinta,1
alkroĉiĝo,1
alkroĉita,1
alkuranta,1
alkuri,8
alkurinta,1
alkursigi,1
alkuŝi,1
alkutimiĝi,6
alkutimiĝinta,4
allasi,3
allasiti,1
allegro,1
alligi,2
alloga,16
allogaĵo,2
alloge,3
allogi,6
allogo,3
almanĝirante,1
almanigi,1
almenaŭ,92
almigrigi,1
almiliti,1
almoza,1
almozante,1
almozato,1
almoze,1
almozpetanto,2
almozpeti,1
almozula,1
almozule,1
almozulo,5
alnomo,1
alo,1
aloo,1
alpa,1
alparolanto,1
alparolata,1
alparolato,2
alparolebla,1
alparoli,12
alparolinto,1
alparolo,1
alpartiiĝi,1
alpaŝi,6
alpelata,1
alportanta,1
alportante,1
alporti,65
alportinta,1
alportita,6
alpremeti,1
alpremiĝi,1
alpreminte,1
alpreni,5
alproksimigi,3
alproksimiĝanta,2
alproksimiĝi,14
alproksimiĝo,1
alproprigi,2
alproprigo,1
alrajdinta,1
alrigardi,11
alrigardo,2
alsalti,2
alsceniĝi,1
alsendi,2
alsimiligo,1
alsorĉi,2
alsuĉiĝi,2
alsuĉpova,1
alsupri,1
alŝovi,2
alŝraŭbi,1
alŝteliĝi,1
alta,94
altabligi,2
altaĵo,3
altalte,1
altane,2
altara,1
altarĉambro,1
altaro,5
altarŝtono,1
alte,24
alteco,2
altega,3
altege,1
altekosta,1
alterigi,1
alteriĝe,1
alteriĝi,3
alteriĝinta,1
alteriĝo,2
alteriĝonta,3
alternanta,1
alternativa,4
alternativo,2
alterne,2
alterni,3
altestimata,4
altestimi,1
alteta,1
altforno,14
altfunkciulo,1
altgrada,3
alti,1
altigi,3
altigita,1
altiĝadi,1
altiĝante,1
altiĝi,4
altiĝinta,1
altiradi,2
altiri,8
altiriĝi,1
altirita,1
altiro,1
altitudo,1
altkosta,1
altkreska,4
altkreski,1
altkurbigita,1
altkvalita,1
altlernejo,3
altlevita,1
altmonda,1
altmorala,1
alto,14
altpotenca,1
altpreza,1
altranga,6
altrangulo,1
altrinki,1
altruda,1
altrudi,4
altrudiĝeme,1
altrudita,2
altsorĉula,1
altstatura,3
alturni,1
alturniĝante,1
alturniĝi,2
altvoĉe,1
aludanta,1
aludante,2
aludi,10
aludo,8
alumeto,16
aluminia,1
alvena,1
alvenadi,1
alvenanta,1
alvenante,3
alvenanto,2
alveni,120
alvenigi,2
alvenigita,1
alveninta,4
alveninte,6
alveninti,1
alveno,21
alvenonta,1
alvertikaliĝi,4
alvertikaliĝo,1
alvoki,6
alvokinta,2
alvoko,6
am,1
ama,11
amaĵo,1
amanta,3
amantino,3
amanto,9
amara,10
amardolĉe,1
amare,4
amareco,1
amareta,1
amariĝi,1
amaro,1
amarvoĉe,1
amasa,4
amasbuĉadi,1
amase,5
amasego,2
amasekuŝi,1
amasi,1
amasigi,6
amasiĝi,3
amasmurdinto,1
amasmurdisto,2
amaso,38
amasprodukto,1
amata,31
amatino,11
amato,15
ambasado,4
ambaŭ,95
ambaŭfina,1
ambaŭflanka,1
ambaŭflanke,9
ambaŭmane,4
ambicia,3
ambicii,1
ambicio,6
ambiciulo,1
ambro,1
ambulanco,2
amĉasisto,1
ame,5
amebria,1
amegata,1
amegi,4
ameno,1
amerika,12
amerikana,1
amerikanino,1
amerikano,2
ametista,1
amfestado,1
amfibiologio,1
ami,126
amigi,1
amik,2
amika,14
amikaĉo,1
amikaro,2
amike,13
amikeca,1
amikeco,5
amikego,1
amikeme,4
amiketa,1
amiketo,1
amiki,1
amikiĝi,11
amikino,25
amiko,172
aminda,8
amindulino,1
amindumado,1
amindume,1
amindumi,5
amindumo,1
amkanto,1
amkontaktiĝo,1
amletero,3
amludo,1
amnestii,2
amnestio,5
amo,73
amoniako,1
amorado,4
amoraĵo,1
amoranta,1
amorantino,1
amoranto,3
amore,1
amoregigi,1
amoreti,2
amori,5
amoro,2
amorpropono,1
ampetolado,1
ampleksa,4
amplena,1
amplifilo,1
ampoemo,1
